,OBJECTID,FEATUREID,ZORDER,ANNOTATIONCLASSID,ADDRESS_,ADDRESS_ID,LAST_MOD,DRAW,PROP_CODE,CREATION_DATE,LAST_UPDATE_DATE,TEXT,SYMBOLID,STATUS,TEXTSTRING,FONTNAME,FONTSIZE,BOLD,ITALIC,UNDERLINE,VERTICALALIGNMENT,HORIZONTALALIGNMENT,XOFFSET,YOFFSET,ANGLE,FONTLEADING,WORDSPACING,CHARACTERWIDTH,CHARACTERSPACING,FLIPANGLE,OVERRIDE,SHAPE.AREA,SHAPE.LEN,SHAPE
224,662598,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11201,Arial,4.7,0,0,0,2,0,0,0,30.09014102,0,100,100,0,180,64,529.5104015451581,101.77932498168501,"{'rings': [[[1246805.7684321702, 547811.7952789068], [1246798.4560365528, 547824.4151189029], [1246829.868010357, 547842.6165846437], [1246837.1804059744, 547829.9967446476], [1246805.7684321702, 547811.7952789068]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
225,662591,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11118,Arial,4.7,0,0,0,2,0,0,0,30.09014101,0,100,100,0,180,64,529.510401688544,101.77932498168501,"{'rings': [[[1246851.3301994205, 548035.1026140451], [1246844.017803803, 548047.7224540412], [1246875.4297776073, 548065.923919782], [1246882.7421732247, 548053.304079786], [1246851.3301994205, 548035.1026140451]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
226,408205,,,0,35388.0,40524.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:56,,0,0,11116,Arial,4.7,0,0,0,2,0,0,0,26.72179919,0,100,100,0,180,64,529.515243538135,101.779963009197,"{'rings': [[[1246859.6638135314, 548018.7829321325], [1246853.1054166704, 548031.8108311146], [1246885.5327183455, 548048.1353326142], [1246892.0911152065, 548035.10796915], [1246859.6638135314, 548018.7829321325]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
227,27752,,,0,27752.0,25943.0,1899-12-30 00:00:00, ,7,,2004-09-08 08:17:52,,0,0,19309,Arial,5.4,0,0,0,2,0,0,0,30.46555111,0,100,100,0,180,223,699.0685014212601,116.941551956786,"{'rings': [[[1245910.3006578386, 549457.9909126759], [1245901.8031775206, 549472.436843425], [1245937.7552091926, 549493.585223347], [1245946.2526895106, 549479.1392925978], [1245910.3006578386, 549457.9909126759]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
228,35522,,,0,35522.0,39899.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:54:06,,0,0,19306,Arial,5.76,0,0,0,2,0,0,0,56.90833566,0,100,100,0,180,223,795.3181909960791,124.735080050321,"{'rings': [[[1245956.62445651, 549231.9010650963], [1245941.6483703852, 549241.6607436091], [1245965.940196827, 549278.9360216707], [1245980.9162829518, 549269.1763431579], [1245956.62445651, 549231.9010650963]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
229,35527,,,0,35527.0,39962.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:44:51,,0,0,19206,Arial,5.76,0,0,0,2,0,0,0,0.0,0,100,100,0,180,223,795.315927795595,124.73538535377301,"{'rings': [[[1246087.7795415074, 549024.9160894305], [1246087.7795415074, 549042.7914292961], [1246132.2718943208, 549042.7914292961], [1246132.2718943208, 549024.9160894305], [1246087.7795415074, 549024.9160894305]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
230,35526,,,0,35526.0,39943.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:20:16,,0,0,19208,Arial,5.76,0,0,0,2,0,0,0,0.0,0,100,100,0,180,223,795.315927795595,124.73538535377301,"{'rings': [[[1246089.5713595748, 549064.7714569867], [1246089.5713595748, 549082.6467968524], [1246134.0637123883, 549082.6467968524], [1246134.0637123883, 549064.7714569867], [1246089.5713595748, 549064.7714569867]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
231,35529,,,0,35529.0,40011.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:42:13,,0,0,19202,Arial,5.76,0,0,0,2,0,0,0,23.5179722,0,100,100,0,180,223,795.3072766171101,124.73474116607001,"{'rings': [[[1246125.9394828826, 548847.4714784324], [1246118.8064832687, 548863.8618477285], [1246159.6027427465, 548881.6161622256], [1246166.7357423604, 548865.2257929295], [1246125.9394828826, 548847.4714784324]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
232,35531,,,0,35531.0,40074.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:49:42,,0,0,19319,Arial,5.76,0,0,0,2,0,0,0,-56.5071056,0,100,100,0,180,223,795.3005270202781,124.73436528026801,"{'rings': [[[1246206.9568635821, 548689.6993804723], [1246221.8638688326, 548699.5634835362], [1246246.4159533828, 548662.4590333253], [1246231.5089481175, 548652.5949302614], [1246206.9568635821, 548689.6993804723]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
233,35440,,,0,35440.0,39945.0,1899-12-30 00:00:00,YES,7,,2004-09-08 08:43:23,,0,0,19209,Arial,5.76,0,0,0,2,0,0,0,3.31092909,0,100,100,0,180,223,795.306121358221,124.734723878642,"{'rings': [[[1246206.9991689026, 549049.2105934322], [1246205.9667046964, 549067.0559446961], [1246250.3846215606, 549069.625323996], [1246251.4170857668, 549051.7799727172], [1246206.9991689026, 549049.2105934322]]], 'spatialReference': {'wkid': 102685, 'latestWkid': 2248}}"
